RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ T.,WAB
1,Michigan,B10,29,27-2,"129.3
19,"Alabama
   (A) 17 Tennessee",SEC,28,21-7,"129.9
3","102.7
57",".9370
19","55.8
32","48.7
59","13.2
8","12.3
363","31.9
133","32.1
259","37.5
121","34.2
151","57.7
24","48.2
48","36.1
56","33.0
124","54.2
1","35.3
54","73.5
3","+6.0
15"
20,"Arkansas
   (A) 4 Florida",SEC,28,21-7,"128.6
5","102.4
53",".9325
20","56.9
17","51.0
155","12.2
1","16.3
201","32.6
108","31.5
221","36.3
153","30.9
76","57.3
34","53.8
269","37.5
26","31.2
40","34.4
284","40.0
195","70.8
29","+4.9
18"
21,"St. John's
   (H) 29 Villanova",BE,28,22-6,"118.9
53","96.1
17",".9201
21","50.8
201","47.9
40","14.9
53","19.4
38","36.4
20","30.6
179","43.2
17","31.7
95","50.8
220","47.5
41","33.8
187","32.4
86","33.8
301","34.5
39","69.8
63","+4.5
20"
22,"Iowa
   (A) 132 Penn St.",B10,28,20-8,"122.8
27","100.1
32",".9136
22","56.9
17","51.3
177","15.0
63","20.9
16","30.8
177","28.3
76","35.8
166","38.2
269","59.2
14","52.9
229","35.7
77","32.6
97","40.7
154","38.9
158","63.1
355","+2.9
29"
23,"North Carolina
   (H) 52 Virginia Tech",ACC,28,22-6,"122.4
30","100.5
37",".9062
23","54.5
56","47.5
31","13.6
13","13.8
342","31.9
133","28.5
83","38.5
92","24.0
4","57.3
34","45.4
13","33.7
191","34.0
182","41.9
134","36.8
92","67.8
165","+4.6
19"
24,"Saint Mary's
   (H) 14 Gonzaga",WCC,30,26-4,"119.7
46","98.5
24",".9041
24","53.3
87","46.4
15","16.7
171","15.4
263","37.8
12","23.8
3","36.6
148","26.0
12","51.0
213","46.5
21","38.3
13","30.8
34","35.5
261","36.9
96","65.6
282","+3.8
24"
25,"N.C. State
   (A) 102 Notre Dame",ACC,28,19-9,"122.6
29","101.3
42",".8997
25","55.7
33","51.5
190","13.4
11","18.9
62","28.1
264","29.4
125","34.0
217","36.7
226","53.5
109","51.6
176","39.0
9","34.2
192","44.0
87","45.3
337","69.3
85","+1.7
37"
26,"Saint Louis
   (H) 120 Duquesne",A10,28,25-3,"120.7
41","99.8
31",".8984
26","60.1
2","43.3
1","17.4
222","16.3
201","32.2
122","26.1
21","34.4
205","38.2
269","59.2
14","43.4
2","40.8
2","28.7
4","44.7
67","41.0
237","71.9
15","+2.6
31"
27,"Wisconsin
   (A) 45 Washington",B10,28,19-9,"124.7
17","103.2
66",".8978
27","53.8
73","51.5
190","13.3
9","14.7
313","29.9
205","26.6
29","34.0
217","32.2
107","55.2
58","52.1
196","35.1
110","33.7
158","51.3
9","40.2
207","69.3
86","+2.4
32"
28,"Utah St.
   (H) 54 Grand Canyon",MWC,28,23-5,"124.2
20","102.9
62",".8976
28","57.5
13","48.8
63","15.8
114","20.7
18","34.7
56","32.6
283","38.0
103","39.9
290","60.0
8","47.8
46","35.9
68","33.5
147","40.8
151","40.7
224","67.9
160","+3.0
28"
29,"Villanova
   (A) 21 St. John's",BE,28,22-6,"121.1
37","100.5
34",".8961
29","54.0
66","51.1
160","14.9
53","19.1
54","33.8
75","32.3
268","31.9
261","28.9
43","54.5
73","51.5
170","35.6
84","33.6
151","45.8
48","37.6
123","64.4
327","+4.0
23"
30,"BYU
   (A) 73 West Virginia",B12,28,20-8,"125.1
15","104.1
78",".8927
30","55.1
42","50.5
126","14.9
53","16.1
222","34.1
69","28.1
70","35.3
176","28.3
32","56.6
43","50.0
105","35.2
104","34.2
192","40.0
169","38.9
158","70.0
49","+4.0
22"
